id,Name,Age group=0-15: % by age,Age group=16-24: % by age,Age group=25-34: % by age,Age group=35-49: % by age,Age group=50-64: % by age,Age group=65++: % by age,Ethnic group=White: % by ethnic group,Ethnic group=Asian; Asian British or Asian Welsh: % by ethnic group,Ethnic group=Black; Black British; Black Welsh; Caribbean or African: % by ethnic group,Ethnic group=Mixed or Multiple ethnic groups: % by ethnic group,Ethnic group=Other ethnic group: % by ethnic group,level=No qualifications: % by qualification level,level=level 1: % by qualification level,level=level 2: % by qualification level,level=level 3: % by qualification level,level=level 4: % by qualification level,level=other: % by qualification level,level=Does not apply: % by qualification level,status=active + employed: % by economic activity,status=active + unemployed: % by economic activity,status=student active + employed: % by economic activity,status=student active + unemployed: % by economic activity,status=student inactive: % by economic activity,status=not student inactive: % by economic activity,status=Does not apply: % by economic activity,% not deprived,% deprived in one dimension,% deprived in two dimensions,% deprived in three dimensions,% deprived in four dimensions,All: % 1-29 min exercise per week,All: % 30-149 min exercise per week,All: % 150+ min exercise per week,Female: % 1-29 min exercise per week,Female: % 30-149 min exercise per week,Female: % 150+ min exercise per week,Male: % 1-29 min exercise per week,Male: % 30-149 min exercise per week,Male: % 150+ min exercise per week,All: % not club members,All: % club members,Female: % not club members,Female: % club members,Male: % not club members,Male: % club members
E07000169,Selby,18.0,8.3,12.4,18.7,22.2,20.4,97.7,0.8,0.2,1.0,0.4,13.1,8.4,12.0,14.9,26.3,7.3,18.0,49.1,1.6,1.0,0.3,2.5,27.5,18.0,,,,,,18.50,16.47,65.03,17.95,16.33,65.72,19.29,16.82,63.89,70.15,29.85,70.84,29.16,69.32,30.68
E07000170,Ashfield,18.6,9.2,13.0,18.6,20.9,19.7,95.1,1.6,1.2,1.6,0.4,19.2,9.7,12.8,14.6,17.6,7.6,18.6,45.4,2.2,0.9,0.3,2.6,30.1,18.6,43.1,34.3,17.6,4.6,0.2,21.18,16.79,62.03,21.18,20.14,58.67,20.70,13.17,66.13,77.48,22.52,76.78,23.22,78.60,21.40
E07000171,Bassetlaw,17.3,8.7,12.0,17.7,22.1,22.1,96.4,1.2,0.6,1.2,0.5,17.8,9.0,12.2,14.4,21.1,8.1,17.3,45.6,1.7,1.0,0.3,2.4,31.6,17.3,46.8,34.3,15.0,3.7,0.1,21.21,17.81,60.98,24.41,19.01,56.58,17.81,16.65,65.54,71.96,28.04,72.69,27.31,70.98,29.02
E07000172,Broxtowe,16.6,9.9,13.1,18.2,20.3,21.8,88.9,5.5,1.7,2.5,1.3,14.5,7.9,10.4,15.1,28.5,7.0,16.6,45.5,1.8,1.3,0.4,4.9,29.5,16.6,50.0,33.8,13.2,2.9,0.1,13.88,19.63,66.49,14.73,21.67,63.60,12.94,17.54,69.52,70.39,29.61,77.23,22.77,63.35,36.65
E07000173,Gedling,17.7,8.3,12.3,19.0,21.0,21.6,89.5,3.9,2.3,3.5,0.9,14.5,8.0,11.4,15.1,26.2,7.2,17.7,47.0,1.8,0.9,0.3,3.0,29.2,17.7,50.7,32.9,13.4,2.8,0.1,17.36,15.80,66.84,17.65,17.82,64.52,17.00,13.46,69.54,70.40,29.60,72.69,27.31,67.74,32.26
E07000174,Mansfield,18.4,8.7,13.7,19.0,20.9,19.3,94.8,2.0,1.1,1.4,0.7,19.8,9.5,12.0,14.3,18.0,7.9,18.4,45.5,2.0,1.0,0.3,2.4,30.4,18.4,42.5,34.6,17.6,5.1,0.2,27.90,14.59,57.51,27.63,15.65,56.72,27.47,13.80,58.73,67.77,32.23,74.03,25.97,62.05,37.95
E07000175,Newark and Sherwood,17.1,9.0,12.0,17.8,21.7,22.5,96.3,1.1,0.7,1.5,0.4,15.8,8.6,12.1,15.0,24.1,7.4,17.1,45.5,1.7,1.0,0.3,3.1,31.4,17.1,49.1,33.5,14.0,3.3,0.2,17.91,16.02,66.07,16.49,18.85,64.67,19.14,13.13,67.73,71.31,28.69,75.49,24.51,67.72,32.28
E07000176,Rushcliffe,17.9,9.6,10.8,19.4,20.6,21.6,89.7,5.7,0.9,2.8,0.9,9.8,5.8,9.8,14.0,37.1,5.4,17.9,46.6,1.4,1.3,0.4,4.8,27.7,17.9,58.4,30.5,9.5,1.5,0.0,11.78,16.93,71.29,12.89,17.25,69.86,10.43,15.94,73.63,65.50,34.50,72.96,27.04,55.55,44.45
E07000177,Cherwell,18.9,8.9,14.2,20.8,19.7,17.4,88.1,6.0,1.8,2.9,1.3,13.0,8.5,11.3,13.0,28.5,6.8,18.9,51.7,1.8,1.1,0.2,2.7,23.6,18.9,54.1,32.6,10.9,2.3,0.1,19.33,17.02,63.65,18.59,18.41,62.99,20.20,14.84,64.96,66.04,33.96,70.20,29.80,61.15,38.85
E07000178,Oxford,15.6,22.3,17.7,18.2,14.5,11.7,70.7,15.4,4.7,5.6,3.7,10.6,5.1,6.4,17.4,40.5,4.3,15.6,41.8,1.8,3.4,0.8,18.4,18.0,15.6,52.2,32.2,12.2,3.2,0.3,9.44,11.07,79.49,10.29,10.79,78.92,8.44,11.32,80.24,62.77,37.23,62.44,37.56,62.91,37.09
